# SET 167 B′ canonique — priorityRank<=167 (figé conducteur 2026-08-02, source wp1-atome-par-ville.tsv)
# Colonnes: slug, name, priorityRank, graph_version. 144 en v2.3 (prêtes v3.4 Phase A) · 18 en v2.2 (à rafraîchir) · 5 sans graphe (à graphifier).
slug	name	priorityRank	graph_version
saint-paul-dabbotsford	Saint-Paul-d'Abbotsford	146	2.3
saint-clet	Saint-Clet	147	2.3
saint-roch-de-richelieu	Saint-Roch-de-Richelieu	148	2.3
saint-jude	Saint-Jude	149	2.3
noyan	Noyan	150	2.3
ormstown	Ormstown	151	2.3
ange-gardien	Ange-Gardien	152	2.3
saint-ours	Saint-Ours	153	2.3
prevost	Prévost	154	2.3
saint-stanislas-de-kostka	Saint-Stanislas-de-Kostka	155	2.3
saint-calixte	Saint-Calixte	156	2.3
saint-barnabe-sud	Saint-Barnabé-Sud	157	2.3
notre-dame-de-stanbridge	Notre-Dame-de-Stanbridge	158	none
franklin	Franklin	159	2.3
saint-pierre	Saint-Pierre	160	2.3
saint-liguori	Saint-Liguori	161	2.3
saint-hippolyte	Saint-Hippolyte	162	2.3
venise-en-quebec	Venise-en-Québec	163	2.3
clarenceville	Clarenceville	164	2.3
joliette	Joliette	165	2.3
les-coteaux	Les Coteaux	166	2.3
saint-dominique	Saint-Dominique	167	2.3
